sample-id	gut_compartment	gut_subsection
SRR13048173	ileum	ileum lumen
SRR13048174	ileum	ileum lumen
SRR13048176	ileum	ileum lumen
SRR13048177	ileum	ileum lumen
SRR13048178	ileum	ileum mucosa
SRR13048179	ileum	ileum mucosa
SRR13048180	ileum	ileum mucosa
SRR13048181	ileum	ileum mucosa
SRR13048182	ileum	ileum mucosa
SRR13048185	cecum	cecum mucosa
SRR13048186	cecum	cecum mucosa
SRR13048187	cecum	cecum mucosa
SRR13048188	cecum	cecum mucosa
SRR13048189	cecum	cecum mucosa
SRR13048193	cecum	cecum lumen
SRR13048194	cecum	cecum lumen
SRR13048195	cecum	cecum lumen
SRR13048196	cecum	cecum lumen
SRR13048198	cecum	cecum lumen
SRR13048200	ileum	ileum lumen